event_id,timestamp,actor,event_type,payload,caused_by,source_level,source_citation,confidence,relevant_query,weight_sign
PX001,1986-02-03,"Steve Jobs",DECISION,"Acquires Graphics Group from Lucasfilm for $5M; renames it Pixar Inc. (founding act of the standalone firm).",,3,"Catmull 2014 Creativity Inc. ch. 2 'Pixar Is Born'; Anand & Collis 2010 HBS 9-709-462 p. 3-4",HIGH,capability:creative-development,+
PX002,1986-02-03,"Edwin Catmull",PERSONNEL,"Catmull named co-founder and President of Pixar.",PX001,3,"Catmull 2014 ch. 2",HIGH,capability:creative-development,+
PX003,1986-02-03,"John Lasseter",PERSONNEL,"Lasseter retained as creative lead (formerly Lucasfilm Computer Graphics).",PX001,3,"Catmull 2014 ch. 2; Anand & Collis 2010 p. 4",HIGH,capability:creative-development,+
PX004,1986-11,"John Lasseter",ARTIFACT,"Short film 'Luxo Jr.' premieres at SIGGRAPH; first Pixar short receiving Academy Award nomination.",PX003,3,"Catmull 2014 ch. 3",HIGH,capability:creative-development,+
PX005,1988,"John Lasseter",ARTIFACT,"Short film 'Tin Toy' wins Academy Award for Best Animated Short Film.",PX004,3,"Catmull 2014 ch. 3; Academy Awards record",HIGH,capability:creative-development,+
PX006,1990,"Pixar leadership",FAILURE,"Pixar Image Computer hardware business closed after sustained losses; layoffs of approximately 30% of staff.",,3,"Catmull 2014 ch. 3; Anand & Collis 2010 p. 4",HIGH,capability:strategic-focus,-
PX007,1991-05,"Edwin Catmull / Disney",DECISION,"Pixar signs $26M three-picture deal with Disney to produce first computer-animated feature.",,3,"Catmull 2014 ch. 4; Anand & Collis 2010 p. 5",HIGH,capability:creative-development,+
PX008,1993-11,"Pixar leadership / Jeffrey Katzenberg",FAILURE,"Toy Story production halted by Disney ('Black Friday' shutdown); story declared not working; team given 2 weeks to fix.",PX007,3,"Catmull 2014 ch. 4 'Black Friday'; Iger 2019 ch. 8 retrospective",HIGH,capability:creative-development,-
PX009,1993-12,"Edwin Catmull / John Lasseter / Andrew Stanton",POLICY,"Story re-broken with story-trust review group (proto-Braintrust); director-as-author principle codified through crisis recovery.",PX008,3,"Catmull 2014 ch. 4-5",HIGH,capability:creative-development,+
PX010,1995-11-22,"Pixar / Disney distribution",ARTIFACT,"Toy Story released theatrically; first feature-length fully CGI film; $373M worldwide gross.",PX007,3,"Catmull 2014 ch. 5; Box Office Mojo record",HIGH,capability:creative-development,+
PX011,1995-11-29,"Steve Jobs",DECISION,"Pixar IPO; raises $140M at $22/share opening at $39.",PX010,1,"Pixar S-1 SEC filing 1995; Catmull 2014 ch. 5",HIGH,capability:strategic-focus,+
PX012,1997-02,"Pixar / Disney",POLICY,"Co-production agreement signed: 5 films, 50/50 cost-profit split, Disney distribution + brand co-rights.",,3,"Anand & Collis 2010 p. 5-6; Pixar 10-K FY1997",HIGH,capability:strategic-focus,+
PX013,1998-11,"John Lasseter",ARTIFACT,"A Bug's Life released; $363M worldwide.",PX012,3,"Catmull 2014 ch. 6",HIGH,capability:creative-development,+
PX014,1999-11,"John Lasseter / Lee Unkrich / Ash Brannon",ARTIFACT,"Toy Story 2 released; reframed from direct-to-video to theatrical mid-production; $497M worldwide.",,3,"Catmull 2014 ch. 6 (Toy Story 2 crisis); Anand & Collis 2010 p. 7",HIGH,capability:creative-development,+
PX015,1999,"Edwin Catmull",POLICY,"Braintrust review meeting institutionalized: directors present in-progress reels; senior creatives give 'notes' with no decision authority; director chooses what to take. Formalized after Toy Story 2 crisis.",PX014,3,"Catmull 2014 ch. 5 'A New Kind of Theatre'; Catmull 2008 HBR p. 67-69",HIGH,capability:creative-development,+
PX016,1999,"Edwin Catmull",POLICY,"Dailies cadence: directors and animation crew review every shot every morning; criticism normalized as routine practice.",,3,"Catmull 2014 ch. 6; Catmull 2008 HBR",HIGH,capability:creative-development,+
PX017,2000,"Pixar leadership",DECISION,"Move from Point Richmond to purpose-built Emeryville campus designed by Steve Jobs to force cross-departmental encounters.",,3,"Catmull 2014 ch. 9; Anand & Collis 2010 p. 7",MEDIUM,capability:creative-development,+
PX018,2001-11,"Pete Docter / David Silverman / Lee Unkrich",ARTIFACT,"Monsters Inc. released; $577M worldwide.",,3,"Catmull 2014 ch. 6; Box Office Mojo",HIGH,capability:creative-development,+
PX019,2003-05,"Andrew Stanton / Lee Unkrich",ARTIFACT,"Finding Nemo released; $940M worldwide; Academy Award Best Animated Feature.",,3,"Catmull 2014 ch. 6",HIGH,capability:creative-development,+
PX020,2003,"Edwin Catmull",POLICY,"Notes Day concept incubated (formalized 2013): company-wide structured review sessions on internal process.",,3,"Catmull 2014 ch. 13 'Notes Day'",LOW,capability:creative-development,+
PX021,2004-04,"Steve Jobs / Michael Eisner",FAILURE,"Pixar-Disney renegotiation talks publicly break down; Jobs announces Pixar will seek alternative distribution post-2006.",PX012,4,"Iger 2019 ch. 8; press coverage (Variety, NYT April 2004)",MEDIUM,capability:strategic-focus,-
PX022,2004-11,"Brad Bird / John Walker",ARTIFACT,"The Incredibles released; $632M worldwide; Bird joined from outside Pixar, first non-original-team director.",,3,"Catmull 2014 ch. 7 (hiring Brad Bird)",HIGH,capability:creative-development,+
PX023,2005-03,"Robert Iger",PERSONNEL,"Iger announced as Eisner's successor as Disney CEO (effective October 2005).",PX021,1,"Disney 8-K SEC filing March 2005; Iger 2019 ch. 1",HIGH,capability:strategic-focus,+
PX024,2005-10,"Robert Iger",DECISION,"Iger reopens Pixar talks within first week as CEO; signals openness to acquisition rather than re-distribution deal.",PX023,3,"Iger 2019 ch. 8",HIGH,capability:strategic-focus,+
PX025,2005-11,"Cars production team",ARTIFACT,"Cars in late post-production (released June 2006); fifth consecutive Pixar feature.",,3,"Catmull 2014 ch. 7",MEDIUM,capability:creative-development,+
PX026,2006-01-24,"Robert Iger / Steve Jobs / Disney Board",DECISION,"Disney announces acquisition of Pixar for $7.4B in all-stock deal; Jobs becomes largest individual Disney shareholder.",PX024,1,"Disney 8-K SEC filing 2006-01-24; Iger 2019 ch. 8",HIGH,capability:m&a-integration,+
PX027,2006-01-24,"Robert Iger",POLICY,"Iger publicly commits to Pixar autonomy: Emeryville stays, Pixar brand survives, creative leadership unchanged.",PX026,2,"Iger 2019 ch. 8; Anand & Collis 2010 p. 11-12; Dyer Kale Singh 2015 CMR p. 9-12",HIGH,capability:m&a-integration,+
PX028,2006-01-24,"Robert Iger / Pixar leadership",POLICY,"'Social Compact' (Catmull-Lasseter document) negotiated: 7-point list including Pixar HR/email/badges/sign retained; Pixar review process preserved; Pixar parties continue; Pixar exempt from Disney-wide policies.",PX026,3,"Catmull 2014 ch. 11 'The Hidden'; Dyer Kale Singh 2015 CMR p. 12-14",HIGH,capability:m&a-integration,+
PX029,2006-01,"Edwin Catmull",PERSONNEL,"Catmull becomes President of both Pixar AND Walt Disney Animation Studios.",PX026,1,"Disney 8-K SEC filing 2006-01-24",HIGH,capability:creative-development,+
PX030,2006-01,"John Lasseter",PERSONNEL,"Lasseter becomes Chief Creative Officer of both Pixar AND Walt Disney Animation Studios + Principal Creative Adviser at Walt Disney Imagineering.",PX026,1,"Disney 8-K SEC filing 2006-01-24",HIGH,capability:creative-development,+
PX031,2006-05-05,"Disney / Pixar shareholders",DECISION,"Acquisition closes following shareholder approval.",PX026,1,"Disney 10-Q FY2006 Q3",HIGH,capability:m&a-integration,+
PX032,2006-06,"Pixar leadership",ARTIFACT,"Cars released first month post-close; $462M worldwide.",PX025,3,"Catmull 2014 ch. 7",HIGH,capability:creative-development,+
PX033,2006-2007,"John Lasseter / Edwin Catmull",DECISION,"Disney Animation re-greenlighting process implemented: Lasseter / Catmull review existing Disney Animation projects; several projects (incl. 'American Dog' v1) sent back to development.",PX030,3,"Catmull 2014 ch. 12 'A New Challenge'",HIGH,capability:creative-development,+
PX034,2006-2007,"Edwin Catmull / John Lasseter",POLICY,"Braintrust transferred to Disney Animation as 'Story Trust' with same operating rules (director-owns-decision; senior-creatives-advise-only).",PX033,3,"Catmull 2014 ch. 12",HIGH,capability:creative-development,+
PX035,2007-06,"Brad Bird",ARTIFACT,"Ratatouille released; $623M worldwide; Academy Award Best Animated Feature.",,3,"Catmull 2014 ch. 7",HIGH,capability:creative-development,+
PX036,2008-06,"Andrew Stanton",ARTIFACT,"WALL-E released; $521M worldwide; Academy Award Best Animated Feature.",,3,"Catmull 2014 ch. 7",HIGH,capability:creative-development,+
PX037,2009-05,"Pete Docter",ARTIFACT,"Up released; $735M worldwide; Academy Award Best Animated Feature; first animated feature nominated for Best Picture.",,3,"Catmull 2014 ch. 7",HIGH,capability:creative-development,+
PX038,2009-11,"Disney Animation / John Lasseter",ARTIFACT,"The Princess and the Frog released by Disney Animation under Lasseter creative direction; first hand-drawn Disney feature since 2004; $271M worldwide.",PX030,3,"Catmull 2014 ch. 12",MEDIUM,capability:creative-development,+
PX039,2010-06,"Lee Unkrich",ARTIFACT,"Toy Story 3 released; $1.067B worldwide; Academy Award Best Animated Feature.",,3,"Catmull 2014 ch. 7; Box Office Mojo",HIGH,capability:creative-development,+
PX040,2010-11,"Byron Howard / Nathan Greno / Disney Animation",ARTIFACT,"Tangled released; first major Disney Animation hit under post-merger creative leadership; $592M worldwide.",PX034,3,"Catmull 2014 ch. 12",HIGH,capability:creative-development,+
PX041,2011-08,"Steve Jobs",PERSONNEL,"Jobs resigns as Apple CEO due to illness; remains Disney board member.",,1,"Apple 8-K SEC filing 2011-08-24",HIGH,capability:strategic-focus,+
PX042,2011-10-05,"Steve Jobs",PERSONNEL,"Jobs dies; Disney board seat vacant.",PX041,1,"Apple obituary statement; Iger 2019 ch. 8 epilogue",HIGH,capability:strategic-focus,-
PX043,2011,"Disney / Pixar",POLICY,"Five-year window of P1 evaluation: Braintrust, dailies, director-as-author, Notes-Day-precursor sessions all observable as still in force at Pixar; Story Trust still in force at Disney Animation.",,3,"Catmull 2014 ch. 11-13 (written 2013, describes practices as live)",HIGH,capability:creative-development,+
PX044,2012-06,"Mark Andrews / Brenda Chapman",ARTIFACT,"Brave released; $539M worldwide; Academy Award Best Animated Feature.",,3,"Catmull 2014 ch. 7",HIGH,capability:creative-development,+
PX045,2013-03,"Edwin Catmull",POLICY,"Notes Day formally instituted as company-wide structured-review event: Pixar shuts down for one day; 100+ employee-driven sessions on internal process improvements.",PX020,3,"Catmull 2014 ch. 13 'Notes Day'",HIGH,capability:creative-development,+
PX046,2013-11,"Chris Buck / Jennifer Lee / Disney Animation",ARTIFACT,"Frozen released; $1.276B worldwide; Disney Animation's first post-merger billion-dollar film; Academy Award Best Animated Feature.",PX034,3,"Box Office Mojo; Disney 10-K FY2014",HIGH,capability:creative-development,+
PX047,2015-06,"Pete Docter",ARTIFACT,"Inside Out released; $858M worldwide; Academy Award Best Animated Feature.",,3,"Box Office Mojo",HIGH,capability:creative-development,+
PX048,2017-11,"Lee Unkrich / Adrian Molina",ARTIFACT,"Coco released; $814M worldwide; Academy Award Best Animated Feature.",,3,"Box Office Mojo",HIGH,capability:creative-development,+
PX049,2018-06,"John Lasseter",PERSONNEL,"Lasseter departs Disney/Pixar following internal misconduct review; first major break in original Pixar leadership continuity.",,4,"Disney press release June 2018; press coverage",MEDIUM,capability:creative-development,-
PX050,2019-06,"Edwin Catmull",PERSONNEL,"Catmull retires as President of Pixar and Disney Animation.",,4,"Disney press release; Iger 2019 epilogue",MEDIUM,capability:creative-development,-
DSN01,1937-12,"Walt Disney / Disney Animation",ARTIFACT,"Snow White and the Seven Dwarfs released; first feature-length cel-animated film; founding artifact of Disney Animation log.",,3,"Disney historical record (background only)",MEDIUM,capability:creative-development,+
DSN02,1985,"Disney Animation leadership / Roy Disney",POLICY,"Story-meeting culture under Peter Schneider / Tom Schumacher: senior-creatives-as-decision-authority on director's work; opposite-pole policy from later Pixar Braintrust.",,4,"Catmull 2014 ch. 12 retrospective; press coverage 1990s",MEDIUM,capability:creative-development,+
DSN03,1989-1999,"Disney Animation",ARTIFACT,"Disney Renaissance: Little Mermaid (1989), Beauty & the Beast (1991), Aladdin (1992), Lion King (1994); peak Disney Animation pre-Eisner-fatigue.",,4,"Disney historical record (background)",MEDIUM,capability:creative-development,+
DSN04,2000-2005,"Disney Animation",FAILURE,"Disney Animation cycle of underperforming releases (Treasure Planet 2002, Home on the Range 2004, Chicken Little 2005, Brother Bear 2003); pre-merger capability erosion documented.",,3,"Anand & Collis 2010 p. 9-11; Catmull 2014 ch. 12 retrospective",HIGH,capability:creative-development,-
DSN05,2003-2004,"Michael Eisner",PERSONNEL,"Eisner ousting campaign by Roy Disney + Stanley Gold; shareholder vote of no confidence March 2004 (43% withheld); Eisner announces 2006 departure.",,4,"Press coverage 2003-2004; Iger 2019 ch. 4-5",HIGH,capability:strategic-focus,-
DSN06,2004,"Michael Eisner",POLICY,"Disney Animation traditional-2D wind-down decisions; Florida studio closed; layoffs announced.",,4,"Press coverage 2004; Catmull 2014 ch. 12",MEDIUM,capability:creative-development,-
DSN07,2006-01,"Disney Board",DECISION,"Board approves Pixar acquisition; ratifies Iger's autonomy-preservation framework over the prior Eisner integration default.",PX026,1,"Disney 8-K SEC filing 2006-01-24",HIGH,capability:m&a-integration,+
