case_id,deal,stratum,role,matched_to,gate_status,gap_45,gap_56,gap_any,gap_mitigated,p4_pathway,p5_pathway,p45_any,outcome_uncertain,struct_coders,outcome_coders,struct_flags,outcome_flags,notes
P001,Fortive Corp  (FTV)  (CIK 0001659166),carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|grok|openai,claude|gemini|openai,sigma_T1,,
P002,CSAB Inc.  (KDP)  (CIK 0001418135),carve_out,gap_prone,,PASS,0,1,1,yes,0,0,0,0,gemini|grok|openai,claude|gemini|openai,sigma_T5|sigma_T6,,
P003,CareFusion Corp  (CIK 0001457543),carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|openai,,,
P004,AOL Inc.  (CIK 0001468516),carve_out,gap_prone,,PASS,1,0,1,yes,1,0,1,0,claude|grok|openai,claude|gemini|grok,sigma_T6,,
P005,"Gannett SpinCo, Inc.  (CIK 0001635718)",carve_out,gap_prone,,PASS,1,0,1,yes,0,1,1,0,claude|grok|openai,claude|gemini|grok,,,
P006,"Brighthouse Financial, Inc.  (BHF, BHFAL, BHFAM, BHFAN, BHFAO, BHFAP)  (CIK 0001685040)",carve_out,gap_prone,,PASS,1,0,1,yes,1,0,1,0,gemini|grok|openai,claude|grok|openai,,p4_pathway,p5_pathway=uncertain->0
P007,"Corteva, Inc.  (CTVA)  (CIK 0001755672)",carve_out,gap_prone,,PASS,0,1,1,yes,0,0,0,0,claude|gemini|grok,gemini|grok|openai,sigma_T6,,
P008,"HSN, Inc.  (CIK 0001434729)",carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|gemini|grok,sigma_T1,,
P009,CONSOL Mining Corp  (CEIX)  (CIK 0001710366),carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|openai,claude|gemini|grok,,,
P010,"Cable One, Inc.  (CABO)  (CIK 0001632127)",carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|gemini|openai,,,
P011,Baxalta Inc  (CIK 0001620546),carve_out,gap_prone,,PASS,1,1,1,yes,0,0,0,1,claude|gemini|openai,claude|gemini|grok,sigma_T1,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P012,"Hertz Rental Car Holding Company, Inc.  (HTZ, HTZWW)  (CIK 0001657853)",carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|grok|openai,claude|gemini|openai,,,p4_pathway=uncertain->0
P013,"Rouse Properties, Inc.  (CIK 0001528558)",carve_out,gap_prone,,PASS,1,1,1,yes,0,0,0,0,claude|gemini|openai,gemini|grok|openai,sigma_T1,,
P014,"frontdoor, inc.  (FTDR)  (CIK 0001727263)",carve_out,gap_prone,,PASS,0,0,0,NA,1,0,1,0,claude|grok|openai,claude|gemini|openai,sigma_T1,,
P015,Hewlett Packard Enterprise Co  (HPE)  (CIK 0001645590),carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|gemini|openai,,,
P016,Alcoa Upstream Corp  (AA)  (CIK 0001675149),carve_out,gap_prone,,PASS,1,0,1,yes,1,1,1,0,claude|grok|openai,claude|gemini|grok,,,
P017,Babcock & Wilcox Co  (BWXT)  (CIK 0001486957),carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|grok|openai,gemini|grok|openai,sigma_T1,,
P018,Urban Edge Properties  (UE)  (CIK 0001611547),carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|grok|openai,gemini|grok|openai,sigma_T3,,
P019,Adient Ltd  (ADNT)  (CIK 0001670541),carve_out,gap_prone,,PASS,1,0,1,yes,1,0,1,0,claude|gemini|openai,gemini|grok|openai,sigma_T1|sigma_T3,,
P020,"Versum Materials, LLC  (CIK 0001660690)",carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|grok,claude|grok|openai,,,
P021,"WPX ENERGY, INC.  (CIK 0001518832)",carve_out,gap_prone,,PASS,0,0,0,yes,0,0,0,0,gemini|grok|openai,claude|gemini|openai,sigma_T1|sigma_T6,,
P022,Dow Holdings Inc.  (DOW)  (CIK 0001751788),carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|openai,,,
P023,SPG SpinCo Subsidiary Inc.  (CIK 0001594686),carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,gemini|grok|openai,claude|gemini|openai,,,
P024,WABCO Holdings Inc.  (CIK 0001390844),carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|openai,claude|gemini|grok,sigma_T1,,
P025,TimkenSteel Corp  (MTUS)  (CIK 0001598428),carve_out,gap_prone,,PASS,0,1,1,yes,0,0,0,0,gemini|grok|openai,claude|gemini|grok,sigma_T3,,
P026,"Babcock & Wilcox Enterprises, Inc.  (BW, BWNB, BWSN, BW-PA)  (CIK 0001630805)",carve_out,gap_prone,,PASS,0,0,0,yes,1,1,1,0,gemini|grok|openai,claude|grok|openai,sigma_T3,p5_pathway,
P027,EchoStar Holding CORP  (SATS)  (CIK 0001415404),carve_out,gap_prone,,PASS,0,1,1,yes,0,0,0,0,gemini|grok|openai,claude|grok|openai,sigma_T2,,
P028,"Keysight Technologies, Inc.  (KEYS)  (CIK 0001601046)",carve_out,gap_prone,,PASS,0,1,1,yes,0,0,0,0,claude|gemini|openai,claude|grok|openai,sigma_T1|sigma_T6,,
P029,Delphi Jersey Holdings plc  (CIK 0001707092),carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,gemini|grok|openai,sigma_T1,,
P030,Patriot Coal CORP  (CIK 0001376812),carve_out,gap_prone,,PASS,0,0,0,NA,0,1,1,0,claude|gemini|grok,claude|gemini|openai,sigma_T3,,
P031,PARAGON OFFSHORE LTD.  (CIK 0001594590),carve_out,gap_prone,,PASS,0,0,0,yes,0,0,0,0,claude|grok|openai,claude|gemini|openai,sigma_T1,,
P032,"Lamb Weston Holdings, Inc.  (LW)  (CIK 0001679273)",carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|grok|openai,sigma_T3,,
P033,AbbVie Inc.  (ABBV)  (CIK 0001551152),carve_out,gap_prone,,PASS,0,1,1,yes,0,0,0,0,claude|gemini|openai,claude|gemini|grok,sigma_T6,,
P034,"California Resources Corp  (CRC, CRCQW)  (CIK 0001609253)",carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|gemini|openai,,,
P035,"PNK Entertainment, Inc.  (CIK 0001656239)",carve_out,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,claude|gemini|grok,,,
P036,CHESAPEAKE OILFIELD OPERATING LLC  (CIK 0001532930),carve_out,gap_prone,,PASS,0,0,0,yes,0,0,0,0,gemini|grok|openai,claude|gemini|grok,,,
P037,Chemours Co  (CC)  (CIK 0001627223),carve_out,gap_prone,,PASS,0,1,1,yes,1,1,1,0,claude|gemini|openai,claude|grok|openai,sigma_T3,p4_pathway,
P038,"Motorola Mobility Holdings, Inc  (CIK 0001495569)",carve_out,gap_prone,,PASS,1,0,1,yes,0,1,1,0,gemini|grok|openai,claude|grok|openai,sigma_T3|sigma_T6,p5_pathway,p4_pathway=uncertain->0
P039,Exterran Corp  (CIK 0001635881),carve_out,gap_prone,,PASS,0,0,0,yes,0,0,0,0,claude|gemini|grok,gemini|grok|openai,sigma_T1,p4_pathway,
P040,Time Inc.  (CIK 0001591517),carve_out,gap_prone,,PASS,0,1,1,yes,0,1,1,0,claude|gemini|grok,claude|gemini|openai,,,
P041,"ONE Gas, Inc.  (OGS)  (CIK 0001587732)",carve_out,gap_prone,,PASS,0,0,0,yes,0,0,0,0,claude|gemini|grok,gemini|grok|openai,,,
P042,Varex Imaging Corp  (VREX)  (CIK 0001681622),carve_out,gap_prone,,PASS,0,1,1,yes,0,0,0,0,claude|gemini|grok,gemini|grok|openai,sigma_T1|sigma_T3,,
P043,Phillips 66  (PSX)  (CIK 0001534701),carve_out,gap_prone,,PASS,0,0,0,yes,0,0,0,0,gemini|grok|openai,claude|gemini|openai,sigma_T5,,
P044,Rayonier Holding Co  (RYAM)  (CIK 0001597672),carve_out,gap_prone,,PASS,0,0,0,NA,0,0,0,1,claude|gemini|grok,claude|gemini|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P045,PARKER HANNIFIN CORP  (PH)  (CIK 0000076334),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|grok,,,
P046,SWIFT ENERGY CO  (CIK 0000351817),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|openai,sigma_T2,,
P047,"Inland American Real Estate Trust, Inc.  (IVT)  (CIK 0001307748)",joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,gemini|grok|openai,,,
P048,COLUMBIA SPORTSWEAR CO  (COLM)  (CIK 0001050797),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,claude|gemini|grok,sigma_T3,,
P049,GOODYEAR TIRE & RUBBER CO /OH/  (GT)  (CIK 0000042582),joint_venture,gap_prone,,PASS,0,1,1,no,0,1,1,0,claude|grok|openai,gemini|grok|openai,sigma_T2|sigma_T3,,
P050,SunEdison Semiconductor Ltd  (CIK 0001585854),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,1,claude|gemini|grok,claude|gemini|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P051,POLARIS INDUSTRIES INC/MN  (PII)  (CIK 0000931015),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|grok,claude|gemini|openai,,,
P052,"MOLSON COORS BREWING CO  (TAP, TAP-A)  (CIK 0000024545)",joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|openai,gemini|grok|openai,,,
P053,REX ENERGY CORP  (CIK 0001397516),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,1,claude|gemini|openai,claude|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P054,MICRON TECHNOLOGY INC  (MU)  (CIK 0000723125),joint_venture,gap_prone,,PASS,1,0,1,yes,1,0,1,0,claude|gemini|openai,claude|gemini|grok,sigma_T3|sigma_T6,,
P055,Owens Corning  (OC)  (CIK 0001370946),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|grok|openai,,,
P056,CENTRAL EUROPEAN DISTRIBUTION CORP  (CIK 0001046880),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,gemini|grok|openai,claude|gemini|grok,,,
P057,ALTABA INC.  (CIK 0001011006),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|grok|openai,,,
P058,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",joint_venture,gap_prone,,PASS,1,1,1,yes,0,0,0,0,claude|gemini|grok,gemini|grok|openai,sigma_T2|sigma_T5,,
P059,COSTCO WHOLESALE CORP /NEW  (COST)  (CIK 0000909832),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|gemini|openai,,,
P060,RADIOSHACK CORP  (CIK 0000096289),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,1,claude|gemini|grok,claude|grok|openai,sigma_T3,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P061,WEIGHT WATCHERS INTERNATIONAL INC  (WW)  (CIK 0000105319),joint_venture,gap_prone,,PASS,0,1,1,no,0,0,0,1,claude|gemini|grok,claude|gemini|openai,sigma_T5|sigma_T6,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P062,Pattern Energy Group Inc.  (CIK 0001561660),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,1,claude|gemini|openai,gemini|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P063,APOLLO GROUP INC  (CIK 0000929887),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|openai,,,
P064,SAUER DANFOSS INC  (CIK 0000865754),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,1,gemini|grok|openai,claude|grok|openai,sigma_T2|sigma_T4,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P065,CLOUD PEAK ENERGY INC.  (CIK 0001441849),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,gemini|grok|openai,,,
P066,"Parkway, Inc.  (CIK 0001677761)",joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,1,claude|gemini|openai,claude|gemini|grok,sigma_T3,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P067,MEMC ELECTRONIC MATERIALS INC  (CIK 0000945436),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|openai,gemini|grok|openai,sigma_T3|sigma_T6,,
P068,SOTHEBYS  (CIK 0000823094),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|grok,claude|grok|openai,sigma_T3,,
P069,"ENTERPRISE PRODUCTS PARTNERS L P  (EPD, EPDU)  (CIK 0001061219)",joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|grok,claude|grok|openai,,,
P070,"EQUITY ONE, INC.  (CIK 0001042810)",joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|openai,,,
P071,PIEDMONT NATURAL GAS CO INC  (CIK 0000078460),joint_venture,gap_prone,,PASS,0,0,0,NA,1,0,1,0,claude|grok|openai,claude|gemini|openai,,p4_pathway,
P072,Hilton Grand Vacations Inc.  (HGV)  (CIK 0001674168),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,gemini|grok|openai,sigma_T2,,
P073,"TIDEWATER INC  (TDW, TDDWW, TDGMW, TDW-WT)  (CIK 0000098222)",joint_venture,gap_prone,,PASS,1,0,1,yes,1,1,1,0,claude|grok|openai,claude|gemini|openai,sigma_T2|sigma_T3,,
P074,"MPG Office Trust, Inc.  (CIK 0001204560)",joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,1,claude|gemini|openai,claude|gemini|grok,sigma_T5,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P075,SKECHERS USA INC  (SKX)  (CIK 0001065837),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,gemini|grok|openai,sigma_T3,,
P076,CYPRESS SEMICONDUCTOR CORP /DE/  (CIK 0000791915),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,gemini|grok|openai,claude|gemini|grok,sigma_T3,,
P077,CROSSTEX ENERGY LP  (CIK 0001179060),joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,gemini|grok|openai,sigma_T2|sigma_T4,,
P078,"PHILLIPS EDISON GROCERY CENTER REIT II, INC.  (CIK 0001581405)",joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|grok|openai,gemini|grok|openai,,,
P079,SUNPOWER CORP  (SPWRQ)  (CIK 0000867773),joint_venture,gap_prone,,PASS,0,1,1,yes,0,0,0,0,gemini|grok|openai,claude|gemini|grok,sigma_T2,,
P080,CHEVRON CORP  (CVX)  (CIK 0000093410),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|gemini|grok,sigma_T3|sigma_T6,,
P081,"FORD MOTOR CO  (F, F-PB, F-PC, F-PD)  (CIK 0000037996)",joint_venture,gap_prone,,PASS,1,0,1,yes,0,0,0,0,gemini|grok|openai,claude|grok|openai,,,
P082,FREEPORT-MCMORAN INC  (FCX)  (CIK 0000831259),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|grok|openai,sigma_T2|sigma_T4,,
P083,DOW CHEMICAL CO /DE/  (CIK 0000029915),joint_venture,gap_prone,,PASS,0,0,0,yes,0,0,0,0,claude|grok|openai,claude|gemini|grok,,,
P084,MARATHON OIL CORP  (MRO)  (CIK 0000101778),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|grok|openai,sigma_T2|sigma_T3|sigma_T4|sigma_T5|sigma_T6,,
P085,VERIZON COMMUNICATIONS INC  (VZ)  (CIK 0000732712),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|grok|openai,sigma_T3,,
P086,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691)",joint_venture,gap_prone,,PASS,0,1,1,no,0,0,0,0,claude|gemini|openai,claude|grok|openai,,,
P087,CORNING INC /NY  (GLW)  (CIK 0000024741),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,1,claude|gemini|grok,claude|gemini|openai,sigma_T2|sigma_T3|sigma_T4,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P088,CONOCOPHILLIPS  (COP)  (CIK 0001163165),joint_venture,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|grok,sigma_T3|sigma_T5,,
P089,"HEALTHCARE TRUST OF AMERICA, INC.  (HR)  (CIK 0001360604)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|gemini|openai,,,
P090,"SUNEDISON, INC.  (CIK 0000945436)",roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,1,claude|gemini|grok,claude|gemini|openai,sigma_T2|sigma_T3|sigma_T4,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P091,"Inland American Real Estate Trust, Inc.  (IVT)  (CIK 0001307748)",roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,claude|grok|openai,sigma_T3,,
P092,SCHWEITZER MAUDUIT INTERNATIONAL INC  (MATV)  (CIK 0001000623),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|openai,claude|grok|openai,,,
