stratum,cik,company,form,filing_date,accession,sic,sic_desc,size_usd,size_metric,deal_value_usd,parent_cik,signal
distressed,1376812,Patriot Coal CORP  (CIK 0001376812),10-K,2012-08-09,0000950103-12-004067,1220,Silver Ores,3873643000,Assets,,,curated:Patriot Coal Chapter 11
distressed,1301063,"Alpha Natural Resources, Inc.  (CIK 0001301063)",8-K,2015-11-20,0001301063-15-000070,1221,Bituminous Coal & Lignite Surface Mining,12847484000,Assets,,,curated:Alpha Natural Resources Chapter 11
distressed,837173,"Walter Energy, Inc.  (CIK 0000837173)",8-K,2015-04-15,0000837173-15-000014,1220,Silver Ores,5883442000,Assets,,,curated:Walter Energy Chapter 11
distressed,1064728,PEABODY ENERGY CORP  (BTU)  (CIK 0001064728),8-K,2016-08-10,0001193125-16-677563,1221,Bituminous Coal & Lignite Surface Mining,13845100000,Assets,,,curated:Peabody Energy Chapter 11
distressed,1037676,ARCH COAL INC  (ARCH)  (CIK 0001037676),8-K,2016-10-11,0001104659-16-149399,1221,Bituminous Coal & Lignite Surface Mining,8823184000,Assets,,,curated:Arch Coal Chapter 11
distressed,38079,SABINE OIL & GAS CORP  (CIK 0000038079),8-K,2015-05-22,0001104659-15-040093,1311,Crude Petroleum & Natural Gas,2582851000,Assets,,,curated:Sabine Oil Gas Chapter 11
distressed,1548691,Samson Resources Corp  (CIK 0001548691),10-K,2015-03-31,0001193125-15-113983,1311,Crude Petroleum & Natural Gas,7437686000,Assets,,,curated:Samson Resources Chapter 11
distressed,1326428,"LINN ENERGY, LLC  (CIK 0001326428)",8-K,2016-05-24,0001193125-16-599897,1311,Crude Petroleum & Natural Gas,18926994000,Assets,,,curated:LINN Energy Chapter 11
distressed,1022646,ULTRA PETROLEUM CORP  (CIK 0001022646),10-K,2016-02-29,0001193125-16-484243,1311,Crude Petroleum & Natural Gas,4266030000,Assets,,,curated:Ultra Petroleum Chapter 11
distressed,1349436,SANDRIDGE ENERGY INC  (SD)  (CIK 0001349436),8-K,2016-10-07,0001193125-16-733811,1311,Crude Petroleum & Natural Gas,7259225000,Assets,,,curated:SandRidge Energy Chapter 11
distressed,1357371,Breitburn Energy Partners LP  (CIK 0001357371),8-K,2016-05-26,0001357371-16-000348,1311,Crude Petroleum & Natural Gas,7638334000,Assets,,,curated:Breitburn Energy Chapter 11
