slot,case_id,deal,stratum,role,matched_to,gate_status,cik,form,filing_date,accession,sic,sic_desc,size_usd,deal_value_usd,parent_cik,signal
1,P001,Fortive Corp  (FTV)  (CIK 0001659166),carve_out,gap_prone,,PASS,1659166,10-12B,2016-04-07,0001193125-16-533838,3823,"Industrial Instruments For Measurement, Display, and Control",8189800000,,,"""distribution ratio"" ""separation agreement"""
2,P002,CSAB Inc.  (KDP)  (CIK 0001418135),carve_out,gap_prone,,PASS,1418135,10-12B,2007-11-13,0000950134-07-023765,2080,Beverages,8638000000,,,"""distribution ratio"" ""separation agreement"""
3,P003,CareFusion Corp  (CIK 0001457543),carve_out,gap_prone,,PASS,1457543,10-12B,2009-05-14,0000950123-09-008871,3841,Surgical & Medical Instruments & Apparatus,8071000000,,,"""distribution ratio"" ""separation agreement"""
4,P004,AOL Inc.  (CIK 0001468516),carve_out,gap_prone,,PASS,1468516,10-12B,2009-09-16,0001193125-09-192456,7374,Services-Computer Processing & Data Preparation,2962300000,,,"""distribution ratio"" ""separation agreement"""
5,P005,"Gannett SpinCo, Inc.  (CIK 0001635718)",carve_out,gap_prone,,PASS,1635718,10-12B,2015-03-12,0001047469-15-002032,2711,Newspapers: Publishing or  Publishing & Printing,2427799000,,,"""distribution ratio"" ""separation agreement"""
6,P006,"Brighthouse Financial, Inc.  (BHF, BHFAL, BHFAM, BHFAN, BHFAO, BHFAP)  (CIK 0001685040)",carve_out,gap_prone,,PASS,1685040,10-12B,2017-04-18,0001193125-17-126443,6311,Life Insurance,224192000000,,,"""distribution ratio"" ""separation agreement"""
7,P007,"Corteva, Inc.  (CTVA)  (CIK 0001755672)",carve_out,gap_prone,,PASS,1755672,10-12B,2018-12-19,0001193125-18-352727,0100,Agricultural Production-Crops,108683000000,,,"""distribution ratio"" ""separation agreement"""
8,P008,"HSN, Inc.  (CIK 0001434729)",carve_out,gap_prone,,PASS,1434729,10-12B,2008-07-22,0001047469-08-008292,5940,Retail-Miscellaneous Shopping Goods Stores,1218650000,,,"""distribution ratio"" ""separation agreement"""
9,P009,CONSOL Mining Corp  (CEIX)  (CIK 0001710366),carve_out,gap_prone,,PASS,1710366,10-12B,2017-07-11,0001193125-17-225493,1220,Silver Ores,2707099000,,,"""distribution ratio"" ""separation agreement"""
10,P010,"Cable One, Inc.  (CABO)  (CIK 0001632127)",carve_out,gap_prone,,PASS,1632127,10-12B,2015-04-17,0001193125-15-136053,4841,Cable & Other Pay Television Services,1398805000,,,"""distribution ratio"" ""separation agreement"""
