case_id,stratum,role,cik,form,accession,chars,status
P001,carve_out,gap_prone,1659166,10-12B,0001193125-16-533838,669534,ok
P002,carve_out,gap_prone,1418135,10-12B,0000950134-07-023765,601199,ok
P003,carve_out,gap_prone,1457543,10-12B,0000950123-09-008871,840229,ok
P004,carve_out,gap_prone,1468516,10-12B,0001193125-09-192456,734855,ok
P005,carve_out,gap_prone,1635718,10-12B,0001047469-15-002032,540256,ok
P006,carve_out,gap_prone,1685040,10-12B,0001193125-17-126443,1629461,ok
P007,carve_out,gap_prone,1755672,10-12B,0001193125-18-352727,599565,ok
P008,carve_out,gap_prone,1434729,10-12B,0001047469-08-008292,1578312,ok
P009,carve_out,gap_prone,1710366,10-12B,0001193125-17-225493,720398,ok
P010,carve_out,gap_prone,1632127,10-12B,0001193125-15-136053,436449,ok
P011,carve_out,gap_prone,1620546,10-12B,0001193125-15-204641,734537,ok
P012,carve_out,gap_prone,1657853,10-12B,0001657853-16-000015,743968,ok
P013,carve_out,gap_prone,1528558,10-12B,0001047469-11-010146,543038,ok
P014,carve_out,gap_prone,1727263,10-12B,0001047469-18-005362,675872,ok
P015,carve_out,gap_prone,1645590,10-12B,0001193125-15-320565,1086539,ok
P016,carve_out,gap_prone,1675149,10-12B,0001193125-16-708643,1195277,ok
P017,carve_out,gap_prone,1486957,10-12B,0001193125-10-055423,728173,ok
P018,carve_out,gap_prone,1611547,10-12B,0001047469-14-009844,742893,ok
P019,carve_out,gap_prone,1670541,10-12B,0001047469-16-015575,1382979,ok
P020,carve_out,gap_prone,1660690,10-12B,0001193125-16-692200,725766,ok
P021,carve_out,gap_prone,1518832,10-12B,0000950123-11-101646,994396,ok
P022,carve_out,gap_prone,1751788,10-12B,0001193125-18-268647,352953,ok
P023,carve_out,gap_prone,1594686,10-12B,0001047469-14-000794,652460,ok
P024,carve_out,gap_prone,1390844,10-12B,0001193125-07-121554,554649,ok
P025,carve_out,gap_prone,1598428,10-12B,0001193125-14-201428,541388,ok
P026,carve_out,gap_prone,1630805,10-12B,0001193125-15-216714,817922,ok
P027,carve_out,gap_prone,1415404,10-12B,0001035704-07-000816,675307,ok
P028,carve_out,gap_prone,1601046,10-12B,0001047469-14-007795,753166,ok
P029,carve_out,gap_prone,1707092,10-12B,0001193125-17-279255,785911,ok
P030,carve_out,gap_prone,1376812,10-12B,0000950137-07-012653,609501,ok
P031,carve_out,gap_prone,1594590,10-12B,0001193125-14-266775,696450,ok
P032,carve_out,gap_prone,1679273,10-12B,0001193125-16-693702,531807,ok
P033,carve_out,gap_prone,1551152,10-12B,0001047469-12-010903,731725,ok
P034,carve_out,gap_prone,1609253,10-12B,0001047469-14-007128,800967,ok
P035,carve_out,gap_prone,1656239,10-12B,0001193125-15-410962,798048,ok
P036,carve_out,gap_prone,1532930,10-12B,0001193125-14-236450,430117,ok
P037,carve_out,gap_prone,1627223,10-12B,0001193125-15-186063,761189,ok
P038,carve_out,gap_prone,1495569,10-12B,0001193125-10-226923,984424,ok
P039,carve_out,gap_prone,1635881,10-12B,0001047469-15-006019,786214,ok
P040,carve_out,gap_prone,1591517,10-12B,0001193125-14-089381,594001,ok
P041,carve_out,gap_prone,1587732,10-12B,0001193125-13-448833,605091,ok
P042,carve_out,gap_prone,1681622,10-12B,0001193125-17-008082,752271,ok
P043,carve_out,gap_prone,1534701,10-12B,0001193125-12-091773,654923,ok
P044,carve_out,gap_prone,1597672,10-12B,0001193125-14-025522,461625,ok
P045,joint_venture,gap_prone,76334,8-K,0000076334-14-000005,17366,ok
P046,joint_venture,gap_prone,351817,10-K,0000351817-11-000012,306133,ok
