case_id,case,h6_eligible,h6_exclusion_reason,n_flags,maj_sigma_T1,maj_sigma_T2,maj_sigma_T3,maj_sigma_T4,maj_sigma_T5,maj_sigma_T6,maj_collapse_state,maj_gap_45,maj_gap_56,maj_p4_pathway,maj_p5_pathway,maj_t1_archetype,maj_t2_model,maj_gap_mitigated,claude_sigma_T1,claude_sigma_T2,claude_sigma_T3,claude_sigma_T4,claude_sigma_T5,claude_sigma_T6,claude_collapse_state,claude_gap_45,claude_gap_56,claude_p4_pathway,claude_p5_pathway,claude_t1_archetype,claude_t2_model,claude_gap_mitigated,gemini_sigma_T1,gemini_sigma_T2,gemini_sigma_T3,gemini_sigma_T4,gemini_sigma_T5,gemini_sigma_T6,gemini_collapse_state,gemini_gap_45,gemini_gap_56,gemini_p4_pathway,gemini_p5_pathway,gemini_t1_archetype,gemini_t2_model,gemini_gap_mitigated,grok_sigma_T1,grok_sigma_T2,grok_sigma_T3,grok_sigma_T4,grok_sigma_T5,grok_sigma_T6,grok_collapse_state,grok_gap_45,grok_gap_56,grok_p4_pathway,grok_p5_pathway,grok_t1_archetype,grok_t2_model,grok_gap_mitigated,performance_metric_majority_note,flagged_cells
A01,Daimler-Benz / Chrysler (1998),yes,,2,replace,partial,swap,1-1,partial,partial,none,1,1,1,1,1,1,no,replace,read-only,swap,1-1,null,partial,none,1,1,1,1,1,1,no,replace,1-1,swap,1-1,1-1,partial,none,0,1,1,1,1,1,no,replace,partial,swap,1-1,partial,partial,none,1,1,1,1,1,1,no,claude:divested 80.1% of Chrysler for $7.4bn after ~108 months | gemini:divested 80.1% stake after ~108 months for $7.4 billion | grok:divested 80.1% after ~108 months,sigma_T2;sigma_T5
A02,Barclays / Lehman Brothers North American operations (2008),yes,,1,replace,N-1,null,subset,1-1,1-1,none,0,0,0,0,0,0,NA,replace,N-1,subset,subset,1-1,1-1,none,0,0,0,0,0,0,NA,replace,N-1,terminate,subset,subset,subset,none,0,0,0,0,0,0,NA,replace,1-1,null,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,claude:no divestiture; businesses retained and integrated into Barclays Capital | gemini:No divestiture — the acquired businesses were retained and integrated into Barclays Capital. | grok:no divestiture; assets retained and integrated,sigma_T3
A03,3Com / Palm carve-out and spin-off (2000),yes,,0,replace,1-1,1-1,1-1,partial,1-1,none,1,0,1,0,0,0,yes,replace,1-1,swap,1-1,partial,1-1,none,1,0,1,0,0,0,yes,replace,1-1,1-1,1-1,partial,1-1,none,1,0,1,0,0,0,yes,replace,1-1,1-1,1-1,partial,1-1,none,1,0,1,0,0,0,yes,"claude:divested via spin-off ~5 months after IPO; standalone Palm stock collapsed to ~$6.50 by June 2001 | gemini:trading around $6.50 by June 2001, the worst-performing PDA maker on the NASDAQ | grok:Palm stock collapsed to ~$6.50 by June 2001; restructured 2003 (PalmSource/palmOne)",
A04,Facebook / FriendFeed acqui-hire (2009),yes,,1,replace,terminate,terminate,read-only,1-1,1-1,none,1,0,0,0,0,0,no,replace,terminate,N-1,read-only,1-1,1-1,none,1,0,0,0,0,0,no,replace,terminate,1-1,terminate,1-1,1-1,none,1,0,0,0,0,0,no,replace,terminate,terminate,read-only,1-1,1-1,none,1,0,0,0,0,0,no,"claude:product shut down ~66 months (April 9, 2015) after close; team integration succeeded | gemini:product shut down ~5.5 years post-close | grok:FriendFeed.com shut April 9, 2015 (~5.5 years post-close)",sigma_T3
A05,Service Corporation International (SCI) funeral-home roll-up (1962–2001),yes,,0,replace,swap,N-1,1-1,N-1,partial,T1=T4,0,0,0,0,0,1,NA,replace,swap,N-1,1-1,N-1,partial,T1=T4,0,0,0,0,0,1,NA,replace,N-1,N-1,1-1,N-1,partial,T1=T4,0,0,0,0,0,1,NA,replace,swap,1-1,1-1,swap,partial,T1=T4,1,1,0,0,0,1,NA,"claude:announced sale of 400+ funeral homes + 100+ cemeteries (2001); homes fell to ~2,500, footprint 20→8 countries | gemini:stock dropped by more than 40 percent; announced plans to sell over 400 funeral homes plus more than 100 cemeteries | grok:stock fell >40% in 1999; divested >400 homes + >100 cemeteries by 2001 (homes to ~2,500)",
A06,AT&T / Lucent Technologies spin-out (1996),yes,,0,replace,swap,swap,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,swap,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,swap,swap,1-1,1-1,subset,none,0,0,0,0,0,0,NA,replace,swap,swap,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,"claude:acquired by Alcatel after ~10 years of independence (Dec 1, 2006); peak market cap ~$258bn | gemini:acquired by France's Alcatel on December 1, 2006 | grok:acquired by Alcatel Dec 2006 (~10 years post-spin)",
A07,McDonald's franchise system (1955-present),yes,,1,replicate,read-only,null,read-only,read-only,1-1,none,0,0,0,0,0,0,NA,replicate,read-only,null,read-only,subset,1-1,none,0,0,0,0,0,0,NA,replicate,read-only,null,read-only,read-only,null,none,0,0,0,0,0,0,NA,imprint-share,null,null,read-only,partial,1-1,none,0,0,0,0,0,0,NA,"claude:no divestiture; durable system, ~95% franchised, 45,356 locations in 2025 | gemini:over 44,000 locations in over 100 countries | grok:durable success; ~95% franchised; 45k+ locations",sigma_T5
A08,Netflix DVD-to-streaming pivot and Qwikster reversal (2007-2011),no,intra-business pivot (no ownership-boundary crossing),0,continue,null,null,null,null,null,none,0,0,1,0,1,1,NA,continue,terminate,null,terminate,terminate,null,none,0,0,0,0,1,1,NA,continue,null,null,null,null,null,none,0,0,1,0,1,1,NA,continue,null,null,null,null,null,none,uncertain,uncertain,1,0,1,1,NA,"claude:split reversed ~23 days after announcement; ~1 million subscribers lost; >50% share-price decline (July–Oct 2011) | gemini:>50% share-price decline and ~1 million subscriber loss | grok:split reversed ~23 days after announcement; ~1M subscribers lost, shares lost >50% value",
A09,Medtronic / Covidien merger and corporate inversion (2015),no,redomiciliation (pure Tier-3 swap; cascade vacuous),1,replace,1-1,swap,1-1,N-1,N-1,none,0,0,0,0,0,0,NA,replace,1-1,swap,1-1,N-1,N-1,none,0,0,0,0,0,0,NA,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,replace,N-1,swap,1-1,N-1,N-1,none,0,0,0,0,0,0,NA,claude:~$600M of targeted $850M synergies achieved by ~Aug 2017 (~30 months post-close); on track to $850M by FY2018 | grok:Integration on plan; ~$600M of $850M synergies by Aug 2017 (~2.5 years),sigma_T2
A10,elBulli restaurant closure (Ferran Adrià) (2011),no,sole-proprietor/founder wind-down (admissibility fires before cascade),0,reconstruct,terminate,swap,terminate,terminate,1-1,T1=T4,0,0,0,0,1,1,NA,reconstruct,terminate,swap,read-only,terminate,1-1,T1=T4,0,0,0,0,1,1,NA,reconstruct,terminate,1-1,terminate,terminate,1-1,T1=T4,0,0,0,0,1,1,NA,continue,terminate,swap,terminate,partial,null,T1=T4,0,0,0,0,1,1,NA,"claude:no transaction; going concern closed and repurposed into foundation, still in existence ~12 years later (museum opened 15 June 2023) | gemini:organization is still in existence roughly 12 years after the restaurant closed | grok:still in existence ~12 years post-closure (foundation + museum)",
