cik;name;sic;fy_t;fy_prev;url_t;url_prev;words_t;words_prev;revenue_t;revenue_prev;sci_bert;sci_bow;sci_bert_item1
0000883980;FIRST DATA CORP;7389;2018-12-31;2017-12-31;https://www.sec.gov/Archives/edgar/data/883980/000088398019000009/a12312018new10-k.htm;https://www.sec.gov/Archives/edgar/data/883980/000088398018000006/a12311710-k.htm;23031;22901;9498000000;12052000000;0.9997748732566833;0.9987330583757146;0.9999998807907104
0001748824;Acadian Asset Management Inc.;6282;2025-12-31;2024-12-31;https://www.sec.gov/Archives/edgar/data/1748824/000162828026012856/aami-20251231.htm;https://www.sec.gov/Archives/edgar/data/1748824/000174882425000016/aami-20241231.htm;29911;28965;563700000;505600000;0.999933123588562;0.999713821407691;0.9997340440750122
0000071829;NPK International Inc.;7350;2025-12-31;2024-12-31;https://www.sec.gov/Archives/edgar/data/71829/000007182926000009/nr-20251231.htm;https://www.sec.gov/Archives/edgar/data/71829/000007182925000012/nr-20241231.htm;4859;4644;277043000;217489000;0.998388022184372;0.9926512942520567;0.998439610004425
0000017843;CARPENTER TECHNOLOGY CORP;3312;2025-06-30;2024-06-30;https://www.sec.gov/Archives/edgar/data/17843/000001784325000021/crs-20250630.htm;https://www.sec.gov/Archives/edgar/data/17843/000001784324000014/crs-20240630.htm;12713;11754;2877100000;2759700000;0.9997624158859253;0.9985351130668343;0.9995986819267273
0001171662;TRIPLE-S MANAGEMENT CORP;6321;2020-12-31;2019-12-31;https://www.sec.gov/Archives/edgar/data/1171662/000114036121006435/brhc10020637_10k.htm;https://www.sec.gov/Archives/edgar/data/1171662/000114036120004334/form10k.htm;10138;19687;3702438000;3375586000;0.9986162781715393;0.9948077229611089;0.999265193939209
0001519751;Fortune Brands Innovations, Inc.;2430;2025-12-27;2024-12-28;https://www.sec.gov/Archives/edgar/data/1519751/000119312526063960/fbin-20251227.htm;https://www.sec.gov/Archives/edgar/data/1519751/000095017025026763/fbin-20241228.htm;9941;10375;4463200000;4609000000;0.9995898008346558;0.9967699669294436;0.9969763457775116
0000883945;USA TRUCK INC;4213;2021-12-31;2020-12-31;https://www.sec.gov/Archives/edgar/data/883945/000088394522000009/usak-20211231x10k.htm;https://www.sec.gov/Archives/edgar/data/883945/000088394521000008/usak-20201231x10k.htm;4272;4211;710387000;551138000;0.9994722604751587;0.9971614056133219;0.9991151988506317
0001609804;Orion S.A.;2890;2025-12-31;2024-12-31;https://www.sec.gov/Archives/edgar/data/1609804/000162828026008601/oec-20251231.htm;https://www.sec.gov/Archives/edgar/data/1609804/000160980425000007/oec-20241231.htm;735;1433;1806700000;1877500000;0.9953544735908508;0.9577987350682469;0.9998512864112854
0000911002;LODGENET INTERACTIVE CORP;4899;2012-12-31;2011-12-31;https://www.sec.gov/Archives/edgar/data/911002/000110465913024484/a13-1362_110k.htm;https://www.sec.gov/Archives/edgar/data/911002/000110465912018524/a12-2324_410k.htm;9246;8304;364689000;421262000;0.9986454248428345;0.9916635785518202;0.9987490773200989
0001551693;PROJECT SAGE OLDCO, INC.;3842;2022-12-31;2021-12-31;https://www.sec.gov/Archives/edgar/data/1551693/000095017023013117/sien-20221231.htm;https://www.sec.gov/Archives/edgar/data/1551693/000095017022005233/sien-20211231.htm;7424;7530;90549000;80683000;0.9995255172252655;0.9964323815722056;
0000923571;US XPRESS ENTERPRISES INC;4213;2022-12-31;2021-12-31;https://www.sec.gov/Archives/edgar/data/923571/000155837023002389/usx-20221231x10k.htm;https://www.sec.gov/Archives/edgar/data/923571/000155837022002527/usx-20211231x10k.htm;8457;8350;2161170000;1948526000;0.999506413936615;0.9977016965080228;0.9979570508003235
0001062530;DIGITAL RIVER INC /DE;5045;2013-12-31;2012-12-31;https://www.sec.gov/Archives/edgar/data/1062530/000104746914001488/a2218501z10-k.htm;https://www.sec.gov/Archives/edgar/data/1062530/000104746913001630/a2212995z10-k.htm;6373;7916;389679000;386222000;0.9992514848709106;0.995953036827891;0.9988457262516022
0001733186;Arriver Holdco, Inc.;3714;2021-12-31;2020-12-31;https://www.sec.gov/Archives/edgar/data/1733186/000173318622000012/vne-20211231.htm;https://www.sec.gov/Archives/edgar/data/1733186/000173318621000039/vne-20201231.htm;29139;29872;1657000000;1373000000;0.9995667934417725;0.9986717297498919;0.9992114305496216
