cik;name;sic;fy_t;fy_prev;url_t;url_prev;words_t;words_prev;revenue_t;revenue_prev;sci_bert;sci_bow;sci_bert_item1
0001822912;26 Capital Acquisition Corp.;6770;2022-12-31;2021-12-31;https://www.sec.gov/Archives/edgar/data/1822912/000121390023030259/f10k2022_26capital.htm;https://www.sec.gov/Archives/edgar/data/1822912/000121390022016220/f10k2021_26capitalacqu.htm;20597;2451;;;0.9937454760074615;0.9503300745091268;0.9997739791870117
0001823465;5:01 Acquisition Corp.;6770;2021-12-31;2020-12-31;https://www.sec.gov/Archives/edgar/data/1823465/000110465922032081/fvam-20211231x10k.htm;https://www.sec.gov/Archives/edgar/data/1823465/000110465921037704/tm218857-1_10k.htm;3477;2610;;;0.9989033043384552;0.9940105632744543;0.9992556869983673
0001504876;5V Inc.;6770;2017-09-30;2016-09-30;https://www.sec.gov/Archives/edgar/data/1504876/000121390018000546/f10k2017_5vinc.htm;https://www.sec.gov/Archives/edgar/data/1504876/000121390017000733/f10k2016_5vinc.htm;1500;1500;;;0.9996696710586548;0.9993619904234607;
0001753648;8i Enterprises Acquisition Corp.;6770;2020-07-31;2019-07-31;https://www.sec.gov/Archives/edgar/data/1753648/000149315220017860/form10-k.htm;https://www.sec.gov/Archives/edgar/data/1753648/000149315219014287/form10-k.htm;1968;1725;;;0.9974417090415955;0.9970465134105875;0.9976276755332947
0001534629;Accelerated Acquisition XVII, Inc.;6770;2014-09-30;2013-09-30;https://www.sec.gov/Archives/edgar/data/1534629/000107997415000029/aaxvii10k9302014.htm;https://www.sec.gov/Archives/edgar/data/1534629/000107997413000817/aaxvii10k9302013.htm;982;1036;;;0.9982115626335144;0.9991925227770672;
0001430175;ACCELERATED ACQUISITIONS II INC;6770;2010-12-31;2009-12-31;https://www.sec.gov/Archives/edgar/data/1430175/000114420411018388/v216401_10k.htm;https://www.sec.gov/Archives/edgar/data/1430175/000114420410019641/v180571_10k.htm;792;756;;;0.9982790648937225;0.9969876302306075;
0001855555;ACCRETION ACQUISITION CORP.;6770;2022-12-31;2021-12-31;https://www.sec.gov/Archives/edgar/data/1855555/000110465923041096/ener-20221231x10k.htm;https://www.sec.gov/Archives/edgar/data/1855555/000110465922040953/ener-20211231x10k.htm;2728;2405;;;0.9969779253005981;0.9976393649668323;0.9999712407588959
0001844389;Ace Global Business Acquisition Ltd;6770;2023-12-31;2022-12-31;https://www.sec.gov/Archives/edgar/data/1844389/000121390024026348/ea0200862-10k_aceglobal.htm;https://www.sec.gov/Archives/edgar/data/1844389/000121390023024691/f10k2022_aceglobal.htm;2855;2742;;;0.997333288192749;0.9996801459916239;0.9999168515205383
0001790121;ACKRELL SPAC Partners I Co.;6770;2021-12-31;2020-12-31;https://www.sec.gov/Archives/edgar/data/1790121/000121390022016938/f10k2021_ackrellspac1.htm;https://www.sec.gov/Archives/edgar/data/1790121/000121390021019147/f10k2020_ackrellspac1.htm;2324;1840;;;0.9972857534885406;0.9827213447467809;0.997765064239502
0001914023;Acri Capital Acquisition Corp;6770;2023-12-31;2022-12-31;https://www.sec.gov/Archives/edgar/data/1914023/000121390024025064/ea0200246-10k_acri.htm;https://www.sec.gov/Archives/edgar/data/1914023/000121390023024676/f10k2022_acricapital.htm;5184;3528;;;0.9982825219631195;0.9921105179506411;0.9823890626430511
