sigma,N,alpha,functional_form,sigma_query_mult,mu_push_mean,mu_push_sd,mu_push_p25,mu_push_p975,mu_pull_mean,mu_pull_sd,mu_pull_p25,mu_pull_p975,mu_alpha_mean,cohens_d,ratio_push_pull,n_trials
0.1,100,0.0,quadratic,0.01,0.16005566713680633,0.008052659338217562,0.1443734642086694,0.17664653265164518,7.999116501642103e-06,4.0849939357830196e-07,7.225369005218967e-06,8.832436605027281e-06,0.16005566713680633,28.10768131902251,20009.16815050127,10000
0.1,100,0.0,quadratic,0.1,0.1599682958783742,0.008049045670693178,0.1443802872686441,0.1760377979678276,0.0007996543563456363,3.9765305484144135e-05,0.0007237614476578717,0.0008799440243147976,0.1599682958783742,27.965514643719565,200.04680098213677,10000
0.1,100,0.0,quadratic,0.3,0.16012280363048773,0.008009402025255163,0.14450945053279612,0.17574355930517652,0.007197255147698651,0.0003601709203569522,0.006522561240080047,0.007915520555486525,0.16012280363048773,26.974679088903066,22.24775978404595,10000
0.1,100,0.0,l1,0.01,0.9025378600845586,0.02418258512566073,0.8551199136572339,0.9500563896137763,0.00638285302074002,0.0001693147130279068,0.006057183046192795,0.006718928627317674,0.9025378600845586,52.406452656461795,141.4003827366715,10000
0.1,100,0.0,l1,0.1,0.9026706445266682,0.02410657356310457,0.8561464723006569,0.950526973172725,0.06381838911612592,0.0016994719668102477,0.06051751759656227,0.06711203544734091,0.9026706445266682,49.08948077747416,14.144365864267442,10000
0.1,100,0.0,l1,0.3,0.9028028087186418,0.024134657172261913,0.8553514855287765,0.9509423162569186,0.191423805584041,0.005064981677394472,0.1816393777895901,0.20143647098449935,0.9028028087186418,40.79583109924277,4.716251492149357,10000
0.1,100,0.0,log_quadratic,0.01,0.1461846906749661,0.006683723278086526,0.13320603314189208,0.15925010593832917,8.003111934417067e-06,3.9901156529826755e-07,7.2386346661812276e-06,8.799291981203325e-06,0.1461846906749661,30.929624864004843,18265.98101749703,10000
0.1,100,0.0,log_quadratic,0.1,0.14613038373558665,0.006832387625076438,0.13285025152984778,0.15994089006835996,0.0007987145773802524,3.96381824198278e-05,0.0007220857788628928,0.0008782981106570898,0.14613038373558665,30.081220521016014,182.9569509234296,10000
0.1,100,0.0,log_quadratic,0.3,0.14606716453174748,0.006639612136443974,0.1334307473355095,0.15919825377731459,0.0071684404606015,0.00035708607853571244,0.006487756298234372,0.00789034853062535,0.14606716453174748,29.542236527333174,20.37642152913844,10000
0.1,100,0.2,quadratic,0.01,0.1599601593927792,0.008088885298928268,0.14473286157228626,0.17627681075683235,7.996727367751105e-06,3.987503612753802e-07,7.22630593666855e-06,8.784978945937562e-06,0.1279697268596969,27.965103860163612,20003.20281492406,10000
0.1,100,0.2,quadratic,0.1,0.16008990240161997,0.008066919495765651,0.14441725459107224,0.17594060743058507,0.0008007628734854426,4.000766777475357e-05,0.0007250303500511151,0.0008823723092744265,0.12823207449599303,27.92467325731938,199.9217342642326,10000
0.1,100,0.2,quadratic,0.3,0.16009286353933333,0.007947616919359336,0.14448510357106015,0.17596959040513246,0.007199480983934875,0.00036156497756046344,0.0065157800644328094,0.007927451991495736,0.12951418702825362,27.17801942693702,22.23672288274239,10000
0.1,100,0.2,l1,0.01,0.9029405174395508,0.024147080203003025,0.8560507984711171,0.9508382294174532,0.006384644815911561,0.00017263249193822722,0.00605349274656375,0.006729283845871441,0.723629342914823,52.50693096627042,141.4237664700279,10000
0.1,100,0.2,l1,0.1,0.9026972670540688,0.024109771351916894,0.855510156577963,0.9499077592589825,0.06382302572465849,0.0017132415967660369,0.06044839651123749,0.06725642155628055,0.7349224187881869,49.08231434878082,14.14375543629711,10000
0.1,100,0.2,l1,0.3,0.9027966688715103,0.024102516852725908,0.8554666852805995,0.9500034129156706,0.19151264935550627,0.005103522032248587,0.18165239038574504,0.20170016364871657,0.7605398649683097,40.8292911818302,4.714031537392826,10000
0.1,100,0.2,log_quadratic,0.01,0.14626290040646311,0.006736647376273583,0.13335933168566005,0.1599287213537846,8.000817573936824e-06,3.992064366068994e-07,7.234197085832621e-06,8.807197671664502e-06,0.11701192048868529,30.70305608208495,18280.99429274877,10000
