proposition,condition,specification,power,type1_error,mean_point_estimate,sd_point_estimate,pct_in_plausible_range,pct_correct_sign_h1,pre_reg_beta,pre_reg_cohens_d
P1,H0_and_H1,primary,1.0,0.042,-0.08032328385641527,0.009756580471681837,1.0,1.0,-0.08,0.5
P2,H0_and_H1,primary,0.942,0.053,-0.12044362730520376,0.03289860661501904,0.968,1.0,-0.12,0.3
P3,H0_and_H1,primary,0.99,0.08,-0.15003218577625924,0.030534234529160605,0.992,0.999,-0.15,0.7
P4,H0_and_H1,primary,0.985,0.062,0.0998211834790898,0.019626841106852477,0.985,1.0,0.1,0.4
P5,H0_and_H1,primary,1.0,0.058,0.1496994149320364,0.008877343683508112,1.0,1.0,0.15,0.5
P1,H0_and_H1,no_FE,1.0,0.052,-0.0802955338390196,0.009731262368879523,1.0,1.0,-0.08,0.5
P2,H0_and_H1,no_FE,0.931,0.039,-0.12098875792067462,0.032418549368985104,0.969,0.998,-0.12,0.3
P3,H0_and_H1,no_FE,0.995,0.091,-0.15103145939905588,0.029310475065901218,0.997,1.0,-0.15,0.7
P4,H0_and_H1,no_FE,0.994,0.06,0.10020443187631244,0.01899678552864178,0.994,1.0,0.1,0.4
P5,H0_and_H1,no_FE,1.0,0.049,0.14948339165433702,0.00916952315805998,1.0,1.0,0.15,0.5
